"Date (00:00 UTC,Coingecko)",Relative to the ETH Price at Launch,ETH price,TEC price (USD),Market Cap (USD),Token Supply (TEC),TEC price (ETH),Notes
5/8/2022,227.07%,"$2,641.23",$1.91,,0.00000000,0.00072134,
5/9/2022,232.29%,"$2,517.83",$1.86,,0.00000000,0.00073792,
5/10/2022,264.61%,"$2,249.89",$1.89,,0.00000000,0.00084062,
5/11/2022,265.89%,"$2,344.80",$1.98,,0.00000000,0.00084469,
5/12/2022,317.34%,"$2,080.91",$2.10,,0.00000000,0.00100811,
5/13/2022,277.69%,"$1,966.70",$1.73,,0.00000000,0.00088217,
5/14/2022,257.07%,"$2,010.21",$1.64,,0.00000000,0.00081667,
5/15/2022,254.44%,"$2,064.23",$1.67,,0.00000000,0.00080829,
5/16/2022,270.64%,"$2,147.05",$1.85,,0.00000000,0.00085977,
5/17/2022,256.70%,"$2,025.89",$1.65,,0.00000000,0.00081548,
5/18/2022,254.50%,"$2,095.18",$1.69,,0.00000000,0.00080850,
5/19/2022,259.24%,"$1,915.18",$1.58,,0.00000000,0.00082354,
5/20/2022,257.71%,"$2,023.85",$1.66,,0.00000000,0.00081870,
5/21/2022,257.03%,"$1,963.99",$1.60,,0.00000000,0.00081651,
5/22/2022,257.19%,"$1,978.15",$1.62,,0.00000000,0.00081705,
5/23/2022,255.92%,"$2,046.65",$1.66,,0.00000000,0.00081299,
5/24/2022,256.11%,"$1,974.58",$1.61,,0.00000000,0.00081360,
5/25/2022,258.78%,"$1,979.77",$1.63,,0.00000000,0.00082207,
5/26/2022,262.83%,"$1,944.84",$1.62,,0.00000000,0.00083497,
5/27/2022,277.00%,"$1,807.97",$1.59,,0.00000000,0.00087997,
5/28/2022,283.78%,"$1,724.88",$1.55,,0.00000000,0.00090151,
5/29/2022,278.32%,"$1,798.69",$1.59,,0.00000000,0.00088416,
5/30/2022,279.87%,"$1,814.98",$1.61,,0.00000000,0.00088908,
5/31/2022,273.69%,"$1,995.94",$1.74,,0.00000000,0.00086947,
6/1/2022,281.67%,"$1,944.08",$1.74,,0.00000000,0.00089479,
6/2/2022,279.96%,"$1,828.89",$1.63,,0.00000000,0.00088936,
6/3/2022,286.59%,"$1,833.09",$1.67,,0.00000000,0.00091043,
6/4/2022,287.45%,"$1,776.98",$1.62,,0.00000000,0.00091317,
6/5/2022,285.23%,"$1,804.26",$1.63,,0.00000000,0.00090613,
6/6/2022,283.50%,"$1,805.33",$1.63,,0.00000000,0.00090062,
6/7/2022,289.69%,"$1,860.18",$1.71,,0.00000000,0.00092027,
6/8/2022,295.28%,"$1,818.39",$1.71,,0.00000000,0.00093803,
6/9/2022,288.91%,"$1,794.54",$1.65,,0.00000000,0.00091781,
